order_date,day_name,Item Name,total_orders,total_price,avg_price,min_price,total_quantity_sold,total_revenue,avg_revenue
2015-09-01,Tuesday,Onion Bhaji,1,3.95,3.95,3.95,1,3.95,3.95
2015-09-08,Tuesday,Onion Bhaji,3,11.850000000000001,3.9500000000000006,3.95,3,11.850000000000001,3.95
2015-09-09,Wednesday,Onion Bhaji,6,23.700000000000003,3.9500000000000006,3.95,6,23.700000000000003,3.95
2015-09-29,Tuesday,Chicken Tikka,2,11.9,5.95,3.95,4,19.8,9.9
2015-09-29,Tuesday,Tandoori Chicken (1/4),1,4.95,4.95,4.95,1,4.95,4.95
2015-09-29,Tuesday,Tandoori Fish,1,5.95,5.95,5.95,1,5.95,5.95
2015-09-29,Tuesday,Vegetable Samosa,2,9.9,4.95,4.95,3,14.850000000000001,7.43
2015-09-30,Wednesday,Vegetable Samosa,3,14.850000000000001,4.95,4.95,6,29.7,9.9
2015-09-30,Wednesday,Tandoori Fish,3,17.85,5.95,5.95,6,35.7,11.9
2015-09-30,Wednesday,Tandoori Chicken (1/4),2,9.9,4.95,4.95,2,9.9,4.95
2015-09-30,Wednesday,Royal Paneer,2,11.9,5.95,5.95,2,11.9,5.95
2015-09-30,Wednesday,Prawn Puree,1,4.95,4.95,4.95,1,4.95,4.95
2015-09-30,Wednesday,Onion Bhaji,2,7.9,3.95,3.95,3,11.850000000000001,5.93
2015-10-01,Thursday,Vegetable Samosa,4,19.8,4.95,4.95,4,19.8,4.95
2015-10-01,Thursday,Vegetable Karahi,1,8.95,8.95,8.95,1,8.95,8.95
2015-10-01,Thursday,Vegetable Balti,1,9.95,9.95,9.95,1,9.95,9.95
2015-10-01,Thursday,Tandoori Fish,3,17.85,5.95,5.95,3,17.85,5.95
2015-10-01,Thursday,Tandoori Chicken (1/4),3,14.850000000000001,4.95,4.95,3,14.850000000000001,4.95
2015-10-01,Thursday,Sheek Kehab,1,5.95,5.95,5.95,2,11.9,11.9
2015-10-01,Thursday,Mint Sauce,1,0.5,0.5,0.5,1,0.5,0.5
2015-10-01,Thursday,Onion Chutney,1,0.5,0.5,0.5,1,0.5,0.5
2015-10-01,Thursday,Onion Bhaji,2,7.9,3.95,3.95,2,7.9,3.95
2015-10-01,Thursday,Lime Pickle,1,0.5,0.5,0.5,1,0.5,0.5
2015-10-01,Thursday,Chicken Sylhet,1,9.95,9.95,9.95,1,9.95,9.95
2015-10-01,Thursday,Paratha,1,2.95,2.95,2.95,1,2.95,2.95
2015-10-02,Friday,Onion Bhaji,4,15.8,3.95,3.95,5,19.75,4.94
2015-10-02,Friday,Vegetable Samosa,2,9.9,4.95,4.95,2,9.9,4.95
2015-10-02,Friday,Tandoori Chicken (1/4),1,4.95,4.95,4.95,1,4.95,4.95
2015-10-02,Friday,Tandoori Chicken,1,8.95,8.95,8.95,1,8.95,8.95
2015-10-02,Friday,Spicy Papadum,1,0.8,0.8,0.8,1,0.8,0.8
2015-10-02,Friday,Paratha,1,2.95,2.95,2.95,1,2.95,2.95
2015-10-02,Friday,Lamb Persian,1,10.95,10.95,10.95,1,10.95,10.95
2015-10-02,Friday,Lemon Rice,1,3.95,3.95,3.95,1,3.95,3.95
2015-10-02,Friday,House Red wine 75cl,1,17.95,17.95,17.95,1,17.95,17.95
2015-10-02,Friday,Coke 1.5 ltr,1,2.95,2.95,2.95,1,2.95,2.95
2015-10-02,Friday,Chicken Pakora,1,5.95,5.95,5.95,1,5.95,5.95
2015-10-02,Friday,Cauliflower Bhajee,1,5.95,5.95,5.95,1,5.95,5.95
2015-10-02,Friday,COBRA (660ML),1,5.95,5.95,5.95,1,5.95,5.95
2015-10-02,Friday,COBRA (330ML),1,3.95,3.95,3.95,1,3.95,3.95
2015-10-02,Friday,Kurma,1,12.95,12.95,12.95,1,12.95,12.95
2016-03-07,Monday,Sheek Kebab (Main),1,8.95,8.95,8.95,1,8.95,8.95
2016-03-07,Monday,Vegetable Roll,2,9.9,4.95,4.95,2,9.9,4.95
2016-03-07,Monday,Onion Bhajee,3,11.850000000000001,3.9500000000000006,3.95,4,15.8,5.27
2016-03-07,Monday,Lamb Tikka (Main),1,8.95,8.95,8.95,1,8.95,8.95
2016-03-07,Monday,Green Salad,1,2.95,2.95,2.95,1,2.95,2.95
2016-03-07,Monday,Meat Samosa,2,7.9,3.95,3.95,2,7.9,3.95
2016-03-07,Monday,Chicken Tikka (Main),1,8.95,8.95,8.95,1,8.95,8.95
2016-03-07,Monday,Chicken Tikka,1,4.95,4.95,4.95,1,4.95,4.95
2016-03-07,Monday,Chicken Haryali,1,9.95,9.95,9.95,1,9.95,9.95
